Function:TanH
ANN Hyperparameters: activation function Hyperbolic Tangent, layer arch [1, 7, 1]
epoch:008 ,particle:13, par err:0.0034, best part err:0.0033, best swarm err:0.0000
epoch:008 ,particle:14, par err:0.0029, best part err:0.0026, best swarm err:0.0000
epoch:008 ,particle:15, par err:0.0031, best part err:0.0024, best swarm err:0.0000

-------------------------------------------------------------------------------------
epoch:009 ,particle:01, par err:0.0038, best part err:0.0029, best swarm err:0.0000
epoch:009 ,particle:02, par err:0.0036, best part err:0.0016, best swarm err:0.0000
epoch:009 ,particle:03, par err:0.0087, best part err:0.0000, best swarm err:0.0000
epoch:009 ,particle:04, par err:0.0039, best part err:0.0030, best swarm err:0.0000
epoch:009 ,particle:05, par err:0.0037, best part err:0.0034, best swarm err:0.0000
epoch:009 ,particle:06, par err:0.0170, best part err:0.0001, best swarm err:0.0000
epoch:009 ,particle:07, par err:0.0036, best part err:0.0018, best swarm err:0.0000
epoch:009 ,particle:08, par err:0.0194, best part err:0.0007, best swarm err:0.0000
epoch:009 ,particle:09, par err:0.0038, best part err:0.0031, best swarm err:0.0000
epoch:009 ,particle:10, par err:0.0180, best part err:0.0000, best swarm err:0.0000
epoch:009 ,particle:11, par err:0.0039, best part err:0.0039, best swarm err:0.0000
epoch:009 ,particle:12, par err:0.0080, best part err:0.0001, best swarm err:0.0000
epoch:009 ,particle:13, par err:0.0038, best part err:0.0033, best swarm err:0.0000
epoch:009 ,particle:14, par err:0.0036, best part err:0.0026, best swarm err:0.0000
epoch:009 ,particle:15, par err:0.0037, best part err:0.0024, best swarm err:0.0000

-------------------------------------------------------------------------------------
epoch:010 ,particle:01, par err:0.0077, best part err:0.0029, best swarm err:0.0000
epoch:010 ,particle:02, par err:0.0127, best part err:0.0016, best swarm err:0.0000
epoch:010 ,particle:03, par err:0.0014, best part err:0.0000, best swarm err:0.0000
epoch:010 ,particle:04, par err:0.0035, best part err:0.0030, best swarm err:0.0000
epoch:010 ,particle:05, par err:0.0043, best part err:0.0034, best swarm err:0.0000
epoch:010 ,particle:06, par err:0.0028, best part err:0.0001, best swarm err:0.0000
epoch:010 ,particle:07, par err:0.0084, best part err:0.0018, best swarm err:0.0000
epoch:010 ,particle:08, par err:0.0042, best part err:0.0007, best swarm err:0.0000
epoch:010 ,particle:09, par err:0.0075, best part err:0.0031, best swarm err:0.0000
epoch:010 ,particle:10, par err:0.0017, best part err:0.0000, best swarm err:0.0000
epoch:010 ,particle:11, par err:0.0025, best part err:0.0025, best swarm err:0.0000
epoch:010 ,particle:12, par err:0.0016, best part err:0.0001, best swarm err:0.0000
epoch:010 ,particle:13, par err:0.0051, best part err:0.0033, best swarm err:0.0000
epoch:010 ,particle:14, par err:0.0062, best part err:0.0026, best swarm err:0.0000
epoch:010 ,particle:15, par err:0.0064, best part err:0.0024, best swarm err:0.0000

-------------------------------------------------------------------------------------
epoch:011 ,particle:01, par err:0.0073, best part err:0.0029, best swarm err:0.0000
epoch:011 ,particle:02, par err:0.0067, best part err:0.0016, best swarm err:0.0000
epoch:011 ,particle:03, par err:0.0002, best part err:0.0000, best swarm err:0.0000
epoch:011 ,particle:04, par err:0.0059, best part err:0.0030, best swarm err:0.0000
epoch:011 ,particle:05, par err:0.0068, best part err:0.0034, best swarm err:0.0000
