Function:Complex
ANN Hyperparameters: activation function Cosine, layer arch [2, 10, 8, 1]
epoch:007 ,particle:14, par err:0.1160, best part err:0.1160, best swarm err:0.1132
epoch:007 ,particle:15, par err:1.3340, best part err:0.2946, best swarm err:0.1132
epoch:007 ,particle:16, par err:0.1631, best part err:0.1631, best swarm err:0.1132
epoch:007 ,particle:17, par err:1.0170, best part err:0.2805, best swarm err:0.1132
epoch:007 ,particle:18, par err:0.7554, best part err:0.1233, best swarm err:0.1132
epoch:007 ,particle:19, par err:0.2298, best part err:0.2298, best swarm err:0.1132
epoch:007 ,particle:20, par err:0.5208, best part err:0.3954, best swarm err:0.1132
epoch:007 ,particle:21, par err:0.3462, best part err:0.2539, best swarm err:0.1132
epoch:007 ,particle:22, par err:0.2149, best part err:0.1228, best swarm err:0.1132
epoch:007 ,particle:23, par err:0.2816, best part err:0.1132, best swarm err:0.1132
epoch:007 ,particle:24, par err:1.4063, best part err:0.3726, best swarm err:0.1132
epoch:007 ,particle:25, par err:0.3320, best part err:0.1202, best swarm err:0.1132
epoch:007 ,particle:26, par err:1.3393, best part err:0.2599, best swarm err:0.1132
epoch:007 ,particle:27, par err:0.1413, best part err:0.1413, best swarm err:0.1132
epoch:007 ,particle:28, par err:1.4880, best part err:0.1832, best swarm err:0.1132
epoch:007 ,particle:29, par err:1.2560, best part err:0.3322, best swarm err:0.1132
epoch:007 ,particle:30, par err:0.6586, best part err:0.1252, best swarm err:0.1132

-------------------------------------------------------------------------------------
epoch:008 ,particle:01, par err:0.4800, best part err:0.2331, best swarm err:0.1132
epoch:008 ,particle:02, par err:0.8095, best part err:0.2342, best swarm err:0.1132
epoch:008 ,particle:03, par err:0.6132, best part err:0.2560, best swarm err:0.1132
epoch:008 ,particle:04, par err:0.8516, best part err:0.4555, best swarm err:0.1132
epoch:008 ,particle:05, par err:0.4773, best part err:0.1239, best swarm err:0.1132
epoch:008 ,particle:06, par err:0.4828, best part err:0.1696, best swarm err:0.1132
epoch:008 ,particle:07, par err:0.5189, best part err:0.2354, best swarm err:0.1132
epoch:008 ,particle:08, par err:0.7465, best part err:0.1208, best swarm err:0.1132
epoch:008 ,particle:09, par err:0.1262, best part err:0.1252, best swarm err:0.1132
epoch:008 ,particle:10, par err:0.3575, best part err:0.2069, best swarm err:0.1132
epoch:008 ,particle:11, par err:0.1313, best part err:0.1313, best swarm err:0.1132
epoch:008 ,particle:12, par err:0.6772, best part err:0.1632, best swarm err:0.1132
epoch:008 ,particle:13, par err:0.6279, best part err:0.2399, best swarm err:0.1132
epoch:008 ,particle:14, par err:0.1765, best part err:0.1160, best swarm err:0.1132
epoch:008 ,particle:15, par err:0.3844, best part err:0.2946, best swarm err:0.1132
