Function:Linear
ANN Hyperparameters: activation function Hyperbolic Tangent, layer arch [1, 7, 1]
epoch:021 ,particle:08, par err:0.0170, best part err:0.0059, best swarm err:0.0012
epoch:021 ,particle:09, par err:0.0116, best part err:0.0116, best swarm err:0.0012
epoch:021 ,particle:10, par err:0.0065, best part err:0.0058, best swarm err:0.0012
epoch:021 ,particle:11, par err:0.0103, best part err:0.0086, best swarm err:0.0012
epoch:021 ,particle:12, par err:0.0262, best part err:0.0068, best swarm err:0.0012
epoch:021 ,particle:13, par err:0.0196, best part err:0.0127, best swarm err:0.0012
epoch:021 ,particle:14, par err:0.0129, best part err:0.0062, best swarm err:0.0012
epoch:021 ,particle:15, par err:0.0534, best part err:0.0065, best swarm err:0.0012

-------------------------------------------------------------------------------------
epoch:022 ,particle:01, par err:0.0021, best part err:0.0012, best swarm err:0.0012
epoch:022 ,particle:02, par err:0.0014, best part err:0.0014, best swarm err:0.0012
epoch:022 ,particle:03, par err:0.0117, best part err:0.0071, best swarm err:0.0012
epoch:022 ,particle:04, par err:0.0242, best part err:0.0066, best swarm err:0.0012
epoch:022 ,particle:05, par err:0.0070, best part err:0.0012, best swarm err:0.0012
epoch:022 ,particle:06, par err:0.0334, best part err:0.0149, best swarm err:0.0012
epoch:022 ,particle:07, par err:0.0147, best part err:0.0014, best swarm err:0.0012
epoch:022 ,particle:08, par err:0.6043, best part err:0.0059, best swarm err:0.0012
epoch:022 ,particle:09, par err:1.0693, best part err:0.0116, best swarm err:0.0012
epoch:022 ,particle:10, par err:0.0163, best part err:0.0058, best swarm err:0.0012
epoch:022 ,particle:11, par err:0.0178, best part err:0.0086, best swarm err:0.0012
epoch:022 ,particle:12, par err:0.0058, best part err:0.0058, best swarm err:0.0012
