Function:Sine
ANN Hyperparameters: activation function Hyperbolic Tangent, layer arch [1, 7, 7, 1]
epoch:006 ,particle:20, par err:0.1347, best part err:0.0962, best swarm err:0.0951

-------------------------------------------------------------------------------------
epoch:007 ,particle:01, par err:0.0961, best part err:0.0961, best swarm err:0.0951
epoch:007 ,particle:02, par err:0.1636, best part err:0.1297, best swarm err:0.0951
epoch:007 ,particle:03, par err:0.0968, best part err:0.0965, best swarm err:0.0951
epoch:007 ,particle:04, par err:0.0960, best part err:0.0960, best swarm err:0.0951
epoch:007 ,particle:05, par err:0.0955, best part err:0.0955, best swarm err:0.0951
epoch:007 ,particle:06, par err:0.0960, best part err:0.0951, best swarm err:0.0951
epoch:007 ,particle:07, par err:0.0956, best part err:0.0951, best swarm err:0.0951
epoch:007 ,particle:08, par err:0.0956, best part err:0.0956, best swarm err:0.0951
epoch:007 ,particle:09, par err:0.1728, best part err:0.1139, best swarm err:0.0951
epoch:007 ,particle:10, par err:0.0967, best part err:0.0967, best swarm err:0.0951
epoch:007 ,particle:11, par err:0.0956, best part err:0.0956, best swarm err:0.0951
epoch:007 ,particle:12, par err:0.0974, best part err:0.0974, best swarm err:0.0951
epoch:007 ,particle:13, par err:0.0964, best part err:0.0964, best swarm err:0.0951
epoch:007 ,particle:14, par err:0.0958, best part err:0.0958, best swarm err:0.0951
epoch:007 ,particle:15, par err:0.0963, best part err:0.0962, best swarm err:0.0951
epoch:007 ,particle:16, par err:0.0964, best part err:0.0964, best swarm err:0.0951
epoch:007 ,particle:17, par err:0.0961, best part err:0.0961, best swarm err:0.0951
epoch:007 ,particle:18, par err:0.3885, best part err:0.1223, best swarm err:0.0951
epoch:007 ,particle:19, par err:0.1649, best part err:0.1209, best swarm err:0.0951
epoch:007 ,particle:20, par err:0.0967, best part err:0.0962, best swarm err:0.0951

-------------------------------------------------------------------------------------
epoch:008 ,particle:01, par err:0.1960, best part err:0.0961, best swarm err:0.0951
epoch:008 ,particle:02, par err:0.0982, best part err:0.0982, best swarm err:0.0951
epoch:008 ,particle:03, par err:0.3189, best part err:0.0965, best swarm err:0.0951
epoch:008 ,particle:04, par err:0.1777, best part err:0.0960, best swarm err:0.0951
epoch:008 ,particle:05, par err:0.1314, best part err:0.0955, best swarm err:0.0951
epoch:008 ,particle:06, par err:0.2577, best part err:0.0951, best swarm err:0.0951
epoch:008 ,particle:07, par err:0.2379, best part err:0.0951, best swarm err:0.0951
epoch:008 ,particle:08, par err:0.1539, best part err:0.0956, best swarm err:0.0951
epoch:008 ,particle:09, par err:0.2534, best part err:0.1139, best swarm err:0.0951
epoch:008 ,particle:10, par err:0.2416, best part err:0.0967, best swarm err:0.0951
epoch:008 ,particle:11, par err:0.1936, best part err:0.0956, best swarm err:0.0951
epoch:008 ,particle:12, par err:0.8166, best part err:0.0974, best swarm err:0.0951
epoch:008 ,particle:13, par err:0.3101, best part err:0.0964, best swarm err:0.0951
epoch:008 ,particle:14, par err:0.1581, best part err:0.0958, best swarm err:0.0951
epoch:008 ,particle:15, par err:0.2754, best part err:0.0962, best swarm err:0.0951
epoch:008 ,particle:16, par err:0.2030, best part err:0.0964, best swarm err:0.0951
epoch:008 ,particle:17, par err:0.2433, best part err:0.0961, best swarm err:0.0951
epoch:008 ,particle:18, par err:0.1531, best part err:0.1223, best swarm err:0.0951
epoch:008 ,particle:19, par err:0.0984, best part err:0.0984, best swarm err:0.0951
epoch:008 ,particle:20, par err:0.1876, best part err:0.0962, best swarm err:0.0951

-------------------------------------------------------------------------------------
epoch:009 ,particle:01, par err:0.1379, best part err:0.0961, best swarm err:0.0951
epoch:009 ,particle:02, par err:0.4427, best part err:0.0982, best swarm err:0.0951
epoch:009 ,particle:03, par err:0.1544, best part err:0.0965, best swarm err:0.0951
epoch:009 ,particle:04, par err:0.1309, best part err:0.0960, best swarm err:0.0951
epoch:009 ,particle:05, par err:0.1214, best part err:0.0955, best swarm err:0.0951
epoch:009 ,particle:06, par err:0.1475, best part err:0.0951, best swarm err:0.0951
epoch:009 ,particle:07, par err:0.1332, best part err:0.0951, best swarm err:0.0951
epoch:009 ,particle:08, par err:0.1287, best part err:0.0956, best swarm err:0.0951
epoch:009 ,particle:09, par err:0.1726, best part err:0.1139, best swarm err:0.0951
epoch:009 ,particle:10, par err:0.1421, best part err:0.0967, best swarm err:0.0951
epoch:009 ,particle:11, par err:0.1319, best part err:0.0956, best swarm err:0.0951
epoch:009 ,particle:12, par err:0.1464, best part err:0.0974, best swarm err:0.0951
epoch:009 ,particle:13, par err:0.1489, best part err:0.0964, best swarm err:0.0951
epoch:009 ,particle:14, par err:0.1289, best part err:0.0958, best swarm err:0.0951
epoch:009 ,particle:15, par err:0.1444, best part err:0.0962, best swarm err:0.0951
epoch:009 ,particle:16, par err:0.1355, best part err:0.0964, best swarm err:0.0951
epoch:009 ,particle:17, par err:0.1356, best part err:0.0961, best swarm err:0.0951
epoch:009 ,particle:18, par err:0.0998, best part err:0.0998, best swarm err:0.0951
epoch:009 ,particle:19, par err:0.4485, best part err:0.0984, best swarm err:0.0951
epoch:009 ,particle:20, par err:0.1491, best part err:0.0962, best swarm err:0.0951

-------------------------------------------------------------------------------------
epoch:010 ,particle:01, par err:0.1299, best part err:0.0961, best swarm err:0.0951
epoch:010 ,particle:02, par err:0.1749, best part err:0.0982, best swarm err:0.0951
epoch:010 ,particle:03, par err:0.2488, best part err:0.0965, best swarm err:0.0951
epoch:010 ,particle:04, par err:0.1211, best part err:0.0960, best swarm err:0.0951
epoch:010 ,particle:05, par err:0.1080, best part err:0.0955, best swarm err:0.0951
epoch:010 ,particle:06, par err:0.1587, best part err:0.0951, best swarm err:0.0951
epoch:010 ,particle:07, par err:0.1400, best part err:0.0951, best swarm err:0.0951
epoch:010 ,particle:08, par err:0.1160, best part err:0.0956, best swarm err:0.0951
epoch:010 ,particle:09, par err:0.1010, best part err:0.1010, best swarm err:0.0951
epoch:010 ,particle:10, par err:0.1425, best part err:0.0967, best swarm err:0.0951
epoch:010 ,particle:11, par err:0.1286, best part err:0.0956, best swarm err:0.0951
epoch:010 ,particle:12, par err:0.2729, best part err:0.0974, best swarm err:0.0951
epoch:010 ,particle:13, par err:0.1701, best part err:0.0964, best swarm err:0.0951
epoch:010 ,particle:14, par err:0.1169, best part err:0.0958, best swarm err:0.0951
epoch:010 ,particle:15, par err:0.1452, best part err:0.0962, best swarm err:0.0951
epoch:010 ,particle:16, par err:0.1292, best part err:0.0964, best swarm err:0.0951
epoch:010 ,particle:17, par err:0.1422, best part err:0.0961, best swarm err:0.0951
epoch:010 ,particle:18, par err:0.9669, best part err:0.0998, best swarm err:0.0951
epoch:010 ,particle:19, par err:0.1762, best part err:0.0984, best swarm err:0.0951
epoch:010 ,particle:20, par err:0.1731, best part err:0.0962, best swarm err:0.0951

-------------------------------------------------------------------------------------
epoch:011 ,particle:01, par err:0.0969, best part err:0.0961, best swarm err:0.0951
epoch:011 ,particle:02, par err:0.2799, best part err:0.0982, best swarm err:0.0951
epoch:011 ,particle:03, par err:0.1303, best part err:0.0965, best swarm err:0.0951
epoch:011 ,particle:04, par err:0.0963, best part err:0.0960, best swarm err:0.0951
epoch:011 ,particle:05, par err:0.0959, best part err:0.0955, best swarm err:0.0951
epoch:011 ,particle:06, par err:0.1022, best part err:0.0951, best swarm err:0.0951
epoch:011 ,particle:07, par err:0.1027, best part err:0.0951, best swarm err:0.0951
epoch:011 ,particle:08, par err:0.0965, best part err:0.0956, best swarm err:0.0951
epoch:011 ,particle:09, par err:0.4806, best part err:0.1010, best swarm err:0.0951
epoch:011 ,particle:10, par err:0.0968, best part err:0.0967, best swarm err:0.0951
epoch:011 ,particle:11, par err:0.0968, best part err:0.0956, best swarm err:0.0951
epoch:011 ,particle:12, par err:0.0982, best part err:0.0974, best swarm err:0.0951
epoch:011 ,particle:13, par err:0.0978, best part err:0.0964, best swarm err:0.0951
epoch:011 ,particle:14, par err:0.0963, best part err:0.0958, best swarm err:0.0951
epoch:011 ,particle:15, par err:0.0974, best part err:0.0962, best swarm err:0.0951
epoch:011 ,particle:16, par err:0.0966, best part err:0.0964, best swarm err:0.0951
epoch:011 ,particle:17, par err:0.0967, best part err:0.0961, best swarm err:0.0951
epoch:011 ,particle:18, par err:0.1639, best part err:0.0998, best swarm err:0.0951
epoch:011 ,particle:19, par err:0.2860, best part err:0.0984, best swarm err:0.0951
epoch:011 ,particle:20, par err:0.1020, best part err:0.0962, best swarm err:0.0951

-------------------------------------------------------------------------------------
epoch:012 ,particle:01, par err:0.1241, best part err:0.0961, best swarm err:0.0951
epoch:012 ,particle:02, par err:0.1006, best part err:0.0982, best swarm err:0.0951
epoch:012 ,particle:03, par err:0.1394, best part err:0.0965, best swarm err:0.0951
epoch:012 ,particle:04, par err:0.1189, best part err:0.0960, best swarm err:0.0951
epoch:012 ,particle:05, par err:0.1116, best part err:0.0955, best swarm err:0.0951
epoch:012 ,particle:06, par err:0.1310, best part err:0.0951, best swarm err:0.0951
epoch:012 ,particle:07, par err:0.1206, best part err:0.0951, best swarm err:0.0951
epoch:012 ,particle:08, par err:0.1167, best part err:0.0956, best swarm err:0.0951
epoch:012 ,particle:09, par err:0.1831, best part err:0.1010, best swarm err:0.0951
epoch:012 ,particle:10, par err:0.1278, best part err:0.0967, best swarm err:0.0951
epoch:012 ,particle:11, par err:0.1194, best part err:0.0956, best swarm err:0.0951
epoch:012 ,particle:12, par err:0.1326, best part err:0.0974, best swarm err:0.0951
epoch:012 ,particle:13, par err:0.1330, best part err:0.0964, best swarm err:0.0951
epoch:012 ,particle:14, par err:0.1170, best part err:0.0958, best swarm err:0.0951
epoch:012 ,particle:15, par err:0.1289, best part err:0.0962, best swarm err:0.0951
epoch:012 ,particle:16, par err:0.1226, best part err:0.0964, best swarm err:0.0951
epoch:012 ,particle:17, par err:0.1226, best part err:0.0961, best swarm err:0.0951
epoch:012 ,particle:18, par err:1.3262, best part err:0.0998, best swarm err:0.0951
epoch:012 ,particle:19, par err:0.1009, best part err:0.0984, best swarm err:0.0951
epoch:012 ,particle:20, par err:0.1341, best part err:0.0962, best swarm err:0.0951

-------------------------------------------------------------------------------------
epoch:013 ,particle:01, par err:0.1836, best part err:0.0961, best swarm err:0.0951
epoch:013 ,particle:02, par err:0.1573, best part err:0.0982, best swarm err:0.0951
epoch:013 ,particle:03, par err:0.3847, best part err:0.0965, best swarm err:0.0951
epoch:013 ,particle:04, par err:0.1665, best part err:0.0960, best swarm err:0.0951
epoch:013 ,particle:05, par err:0.1265, best part err:0.0955, best swarm err:0.0951
epoch:013 ,particle:06, par err:0.2544, best part err:0.0951, best swarm err:0.0951
epoch:013 ,particle:07, par err:0.2103, best part err:0.0951, best swarm err:0.0951
epoch:013 ,particle:08, par err:0.1460, best part err:0.0956, best swarm err:0.0951
epoch:013 ,particle:09, par err:0.3666, best part err:0.1010, best swarm err:0.0951
epoch:013 ,particle:10, par err:0.2245, best part err:0.0967, best swarm err:0.0951
epoch:013 ,particle:11, par err:0.1821, best part err:0.0956, best swarm err:0.0951
epoch:013 ,particle:12, par err:0.7508, best part err:0.0974, best swarm err:0.0951
epoch:013 ,particle:13, par err:0.2912, best part err:0.0964, best swarm err:0.0951
epoch:013 ,particle:14, par err:0.1501, best part err:0.0958, best swarm err:0.0951
epoch:013 ,particle:15, par err:0.2318, best part err:0.0962, best swarm err:0.0951
epoch:013 ,particle:16, par err:0.1888, best part err:0.0964, best swarm err:0.0951
epoch:013 ,particle:17, par err:0.2284, best part err:0.0961, best swarm err:0.0951
epoch:013 ,particle:18, par err:0.1025, best part err:0.0998, best swarm err:0.0951
epoch:013 ,particle:19, par err:0.1588, best part err:0.0984, best swarm err:0.0951
epoch:013 ,particle:20, par err:0.2269, best part err:0.0962, best swarm err:0.0951

-------------------------------------------------------------------------------------
epoch:014 ,particle:01, par err:0.1053, best part err:0.0961, best swarm err:0.0951
epoch:014 ,particle:02, par err:0.4317, best part err:0.0982, best swarm err:0.0951
epoch:014 ,particle:03, par err:0.1024, best part err:0.0965, best swarm err:0.0951
epoch:014 ,particle:04, par err:0.1036, best part err:0.0960, best swarm err:0.0951
epoch:014 ,particle:05, par err:0.1004, best part err:0.0955, best swarm err:0.0951
epoch:014 ,particle:06, par err:0.1084, best part err:0.0951, best swarm err:0.0951
epoch:014 ,particle:07, par err:0.1009, best part err:0.0951, best swarm err:0.0951
epoch:014 ,particle:08, par err:0.1018, best part err:0.0956, best swarm err:0.0951
epoch:014 ,particle:09, par err:0.1023, best part err:0.1010, best swarm err:0.0951
epoch:014 ,particle:10, par err:0.1081, best part err:0.0967, best swarm err:0.0951
epoch:014 ,particle:11, par err:0.1035, best part err:0.0956, best swarm err:0.0951
epoch:014 ,particle:12, par err:0.1110, best part err:0.0974, best swarm err:0.0951
epoch:014 ,particle:13, par err:0.1105, best part err:0.0964, best swarm err:0.0951
epoch:014 ,particle:14, par err:0.1024, best part err:0.0958, best swarm err:0.0951
epoch:014 ,particle:15, par err:0.1097, best part err:0.0962, best swarm err:0.0951
epoch:014 ,particle:16, par err:0.1053, best part err:0.0964, best swarm err:0.0951
epoch:014 ,particle:17, par err:0.1057, best part err:0.0961, best swarm err:0.0951
epoch:014 ,particle:18, par err:0.1432, best part err:0.0998, best swarm err:0.0951
epoch:014 ,particle:19, par err:0.4377, best part err:0.0984, best swarm err:0.0951
epoch:014 ,particle:20, par err:0.1074, best part err:0.0962, best swarm err:0.0951

-------------------------------------------------------------------------------------
epoch:015 ,particle:01, par err:0.1001, best part err:0.0961, best swarm err:0.0951
epoch:015 ,particle:02, par err:0.1262, best part err:0.0982, best swarm err:0.0951
epoch:015 ,particle:03, par err:0.1023, best part err:0.0965, best swarm err:0.0951
epoch:015 ,particle:04, par err:0.0993, best part err:0.0960, best swarm err:0.0951
epoch:015 ,particle:05, par err:0.0975, best part err:0.0955, best swarm err:0.0951
epoch:015 ,particle:06, par err:0.1014, best part err:0.0951, best swarm err:0.0951
epoch:015 ,particle:07, par err:0.0984, best part err:0.0951, best swarm err:0.0951
epoch:015 ,particle:08, par err:0.0982, best part err:0.0956, best swarm err:0.0951
epoch:015 ,particle:09, par err:0.1672, best part err:0.1010, best swarm err:0.0951
epoch:015 ,particle:10, par err:0.1017, best part err:0.0967, best swarm err:0.0951
epoch:015 ,particle:11, par err:0.0989, best part err:0.0956, best swarm err:0.0951
epoch:015 ,particle:12, par err:0.1038, best part err:0.0974, best swarm err:0.0951
epoch:015 ,particle:13, par err:0.1023, best part err:0.0964, best swarm err:0.0951
epoch:015 ,particle:14, par err:0.0985, best part err:0.0958, best swarm err:0.0951
epoch:015 ,particle:15, par err:0.1017, best part err:0.0962, best swarm err:0.0951
epoch:015 ,particle:16, par err:0.1003, best part err:0.0964, best swarm err:0.0951
epoch:015 ,particle:17, par err:0.1001, best part err:0.0961, best swarm err:0.0951
epoch:015 ,particle:18, par err:1.3513, best part err:0.0998, best swarm err:0.0951
epoch:015 ,particle:19, par err:0.1272, best part err:0.0984, best swarm err:0.0951
epoch:015 ,particle:20, par err:0.1022, best part err:0.0962, best swarm err:0.0951

-------------------------------------------------------------------------------------
epoch:016 ,particle:01, par err:0.1452, best part err:0.0961, best swarm err:0.0951
epoch:016 ,particle:02, par err:0.1102, best part err:0.0982, best swarm err:0.0951
epoch:016 ,particle:03, par err:0.3142, best part err:0.0965, best swarm err:0.0951
epoch:016 ,particle:04, par err:0.1337, best part err:0.0960, best swarm err:0.0951
epoch:016 ,particle:05, par err:0.1138, best part err:0.0955, best swarm err:0.0951
epoch:016 ,particle:06, par err:0.1979, best part err:0.0951, best swarm err:0.0951
epoch:016 ,particle:07, par err:0.1698, best part err:0.0951, best swarm err:0.0951
epoch:016 ,particle:08, par err:0.1253, best part err:0.0956, best swarm err:0.0951
epoch:016 ,particle:09, par err:0.4829, best part err:0.1010, best swarm err:0.0951
epoch:016 ,particle:10, par err:0.1644, best part err:0.0967, best swarm err:0.0951
epoch:016 ,particle:11, par err:0.1426, best part err:0.0956, best swarm err:0.0951
epoch:016 ,particle:12, par err:0.3790, best part err:0.0974, best swarm err:0.0951
epoch:016 ,particle:13, par err:0.1998, best part err:0.0964, best swarm err:0.0951
epoch:016 ,particle:14, par err:0.1263, best part err:0.0958, best swarm err:0.0951
epoch:016 ,particle:15, par err:0.1736, best part err:0.0962, best swarm err:0.0951
epoch:016 ,particle:16, par err:0.1455, best part err:0.0964, best swarm err:0.0951
epoch:016 ,particle:17, par err:0.1617, best part err:0.0961, best swarm err:0.0951
epoch:016 ,particle:18, par err:0.1182, best part err:0.0998, best swarm err:0.0951
epoch:016 ,particle:19, par err:0.1109, best part err:0.0984, best swarm err:0.0951
epoch:016 ,particle:20, par err:0.1733, best part err:0.0962, best swarm err:0.0951

-------------------------------------------------------------------------------------
epoch:017 ,particle:01, par err:0.1176, best part err:0.0961, best swarm err:0.0951
epoch:017 ,particle:02, par err:0.3252, best part err:0.0982, best swarm err:0.0951
epoch:017 ,particle:03, par err:0.1251, best part err:0.0965, best swarm err:0.0951
epoch:017 ,particle:04, par err:0.1136, best part err:0.0960, best swarm err:0.0951
epoch:017 ,particle:05, par err:0.1075, best part err:0.0955, best swarm err:0.0951
epoch:017 ,particle:06, par err:0.1244, best part err:0.0951, best swarm err:0.0951
epoch:017 ,particle:07, par err:0.1128, best part err:0.0951, best swarm err:0.0951
epoch:017 ,particle:08, par err:0.1113, best part err:0.0956, best swarm err:0.0951
epoch:017 ,particle:09, par err:0.1346, best part err:0.1010, best swarm err:0.0951
