Function:Linear
ANN Hyperparameters: activation function Hyperbolic Tangent, layer arch [1, 7, 7, 1]
epoch:010 ,particle:01, par err:0.8950, best part err:0.0153, best swarm err:0.0088
epoch:010 ,particle:02, par err:0.0139, best part err:0.0139, best swarm err:0.0088
epoch:010 ,particle:03, par err:0.0951, best part err:0.0172, best swarm err:0.0088
epoch:010 ,particle:04, par err:0.1061, best part err:0.0088, best swarm err:0.0088
epoch:010 ,particle:05, par err:0.1612, best part err:0.0138, best swarm err:0.0088
epoch:010 ,particle:06, par err:0.1486, best part err:0.0117, best swarm err:0.0088
epoch:010 ,particle:07, par err:0.0688, best part err:0.0154, best swarm err:0.0088
epoch:010 ,particle:08, par err:0.0471, best part err:0.0093, best swarm err:0.0088
epoch:010 ,particle:09, par err:0.1746, best part err:0.0118, best swarm err:0.0088
epoch:010 ,particle:10, par err:1.5603, best part err:0.0143, best swarm err:0.0088
epoch:010 ,particle:11, par err:0.0129, best part err:0.0129, best swarm err:0.0088
epoch:010 ,particle:12, par err:0.1458, best part err:0.0109, best swarm err:0.0088
epoch:010 ,particle:13, par err:0.1920, best part err:0.0122, best swarm err:0.0088
epoch:010 ,particle:14, par err:0.1937, best part err:0.0143, best swarm err:0.0088
epoch:010 ,particle:15, par err:0.1883, best part err:0.0128, best swarm err:0.0088
epoch:010 ,particle:16, par err:0.1291, best part err:0.0104, best swarm err:0.0088
epoch:010 ,particle:17, par err:0.1011, best part err:0.0106, best swarm err:0.0088
epoch:010 ,particle:18, par err:0.1341, best part err:0.0121, best swarm err:0.0088
epoch:010 ,particle:19, par err:0.0949, best part err:0.0104, best swarm err:0.0088
epoch:010 ,particle:20, par err:0.1549, best part err:0.0127, best swarm err:0.0088

-------------------------------------------------------------------------------------
epoch:011 ,particle:01, par err:0.0122, best part err:0.0122, best swarm err:0.0088
epoch:011 ,particle:02, par err:0.2983, best part err:0.0139, best swarm err:0.0088
epoch:011 ,particle:03, par err:0.1346, best part err:0.0172, best swarm err:0.0088
epoch:011 ,particle:04, par err:0.0283, best part err:0.0088, best swarm err:0.0088
epoch:011 ,particle:05, par err:0.0190, best part err:0.0138, best swarm err:0.0088
epoch:011 ,particle:06, par err:0.0170, best part err:0.0117, best swarm err:0.0088
epoch:011 ,particle:07, par err:0.1668, best part err:0.0154, best swarm err:0.0088
epoch:011 ,particle:08, par err:0.0116, best part err:0.0093, best swarm err:0.0088
epoch:011 ,particle:09, par err:0.0179, best part err:0.0118, best swarm err:0.0088
epoch:011 ,particle:10, par err:0.0334, best part err:0.0143, best swarm err:0.0088
epoch:011 ,particle:11, par err:0.3095, best part err:0.0129, best swarm err:0.0088
epoch:011 ,particle:12, par err:0.0165, best part err:0.0109, best swarm err:0.0088
epoch:011 ,particle:13, par err:0.1605, best part err:0.0122, best swarm err:0.0088
epoch:011 ,particle:14, par err:0.0201, best part err:0.0143, best swarm err:0.0088
epoch:011 ,particle:15, par err:0.0194, best part err:0.0128, best swarm err:0.0088
epoch:011 ,particle:16, par err:0.0147, best part err:0.0104, best swarm err:0.0088
epoch:011 ,particle:17, par err:0.0142, best part err:0.0106, best swarm err:0.0088
epoch:011 ,particle:18, par err:0.0169, best part err:0.0121, best swarm err:0.0088
epoch:011 ,particle:19, par err:0.0147, best part err:0.0104, best swarm err:0.0088
epoch:011 ,particle:20, par err:0.0170, best part err:0.0127, best swarm err:0.0088

-------------------------------------------------------------------------------------
epoch:012 ,particle:01, par err:0.1420, best part err:0.0122, best swarm err:0.0083
epoch:012 ,particle:02, par err:0.2011, best part err:0.0139, best swarm err:0.0083
epoch:012 ,particle:03, par err:0.0498, best part err:0.0172, best swarm err:0.0083
epoch:012 ,particle:04, par err:0.0686, best part err:0.0088, best swarm err:0.0083
epoch:012 ,particle:05, par err:0.1598, best part err:0.0138, best swarm err:0.0083
epoch:012 ,particle:06, par err:0.1300, best part err:0.0117, best swarm err:0.0083
epoch:012 ,particle:07, par err:0.0358, best part err:0.0154, best swarm err:0.0083
epoch:012 ,particle:08, par err:0.0539, best part err:0.0093, best swarm err:0.0083
epoch:012 ,particle:09, par err:0.1248, best part err:0.0118, best swarm err:0.0083
epoch:012 ,particle:10, par err:0.0083, best part err:0.0083, best swarm err:0.0083
epoch:012 ,particle:11, par err:0.1845, best part err:0.0129, best swarm err:0.0083
epoch:012 ,particle:12, par err:0.1186, best part err:0.0109, best swarm err:0.0083
epoch:012 ,particle:13, par err:0.0180, best part err:0.0122, best swarm err:0.0083
epoch:012 ,particle:14, par err:0.1628, best part err:0.0143, best swarm err:0.0083
epoch:012 ,particle:15, par err:0.1509, best part err:0.0128, best swarm err:0.0083
epoch:012 ,particle:16, par err:0.0818, best part err:0.0104, best swarm err:0.0083
epoch:012 ,particle:17, par err:0.0913, best part err:0.0106, best swarm err:0.0083
epoch:012 ,particle:18, par err:0.1364, best part err:0.0121, best swarm err:0.0083
epoch:012 ,particle:19, par err:0.1032, best part err:0.0104, best swarm err:0.0083
epoch:012 ,particle:20, par err:0.1265, best part err:0.0127, best swarm err:0.0083

-------------------------------------------------------------------------------------
epoch:013 ,particle:01, par err:0.5868, best part err:0.0122, best swarm err:0.0073
epoch:013 ,particle:02, par err:0.1714, best part err:0.0139, best swarm err:0.0073
epoch:013 ,particle:03, par err:0.0076, best part err:0.0076, best swarm err:0.0073
epoch:013 ,particle:04, par err:0.2454, best part err:0.0088, best swarm err:0.0073
epoch:013 ,particle:05, par err:0.2607, best part err:0.0138, best swarm err:0.0073
epoch:013 ,particle:06, par err:0.2591, best part err:0.0117, best swarm err:0.0073
epoch:013 ,particle:07, par err:0.0073, best part err:0.0073, best swarm err:0.0073
epoch:013 ,particle:08, par err:0.1118, best part err:0.0093, best swarm err:0.0073
epoch:013 ,particle:09, par err:0.2991, best part err:0.0118, best swarm err:0.0073
epoch:013 ,particle:10, par err:0.0200, best part err:0.0083, best swarm err:0.0073
epoch:013 ,particle:11, par err:0.1871, best part err:0.0129, best swarm err:0.0073
epoch:013 ,particle:12, par err:0.2545, best part err:0.0109, best swarm err:0.0073
epoch:013 ,particle:13, par err:0.1471, best part err:0.0122, best swarm err:0.0073
epoch:013 ,particle:14, par err:0.2747, best part err:0.0143, best swarm err:0.0073
epoch:013 ,particle:15, par err:0.2725, best part err:0.0128, best swarm err:0.0073
epoch:013 ,particle:16, par err:0.2677, best part err:0.0104, best swarm err:0.0073
epoch:013 ,particle:17, par err:0.2140, best part err:0.0106, best swarm err:0.0073
epoch:013 ,particle:18, par err:0.2367, best part err:0.0121, best swarm err:0.0073
epoch:013 ,particle:19, par err:0.1918, best part err:0.0104, best swarm err:0.0073
epoch:013 ,particle:20, par err:0.2709, best part err:0.0127, best swarm err:0.0073

-------------------------------------------------------------------------------------
epoch:014 ,particle:01, par err:0.2166, best part err:0.0122, best swarm err:0.0073
epoch:014 ,particle:02, par err:0.0092, best part err:0.0092, best swarm err:0.0073
epoch:014 ,particle:03, par err:0.0362, best part err:0.0076, best swarm err:0.0073
epoch:014 ,particle:04, par err:0.0396, best part err:0.0088, best swarm err:0.0073
epoch:014 ,particle:05, par err:0.1001, best part err:0.0138, best swarm err:0.0073
epoch:014 ,particle:06, par err:0.0821, best part err:0.0117, best swarm err:0.0073
epoch:014 ,particle:07, par err:0.0366, best part err:0.0073, best swarm err:0.0073
epoch:014 ,particle:08, par err:0.0399, best part err:0.0093, best swarm err:0.0073
epoch:014 ,particle:09, par err:0.0800, best part err:0.0118, best swarm err:0.0073
epoch:014 ,particle:10, par err:0.0451, best part err:0.0083, best swarm err:0.0073
epoch:014 ,particle:11, par err:0.0092, best part err:0.0092, best swarm err:0.0073
epoch:014 ,particle:12, par err:0.0740, best part err:0.0109, best swarm err:0.0073
epoch:014 ,particle:13, par err:0.2266, best part err:0.0122, best swarm err:0.0073
epoch:014 ,particle:14, par err:0.0994, best part err:0.0143, best swarm err:0.0073
epoch:014 ,particle:15, par err:0.0928, best part err:0.0128, best swarm err:0.0073
epoch:014 ,particle:16, par err:0.0566, best part err:0.0104, best swarm err:0.0073
epoch:014 ,particle:17, par err:0.0625, best part err:0.0106, best swarm err:0.0073
epoch:014 ,particle:18, par err:0.0850, best part err:0.0121, best swarm err:0.0073
epoch:014 ,particle:19, par err:0.0657, best part err:0.0104, best swarm err:0.0073
epoch:014 ,particle:20, par err:0.0786, best part err:0.0127, best swarm err:0.0073

-------------------------------------------------------------------------------------
epoch:015 ,particle:01, par err:0.0089, best part err:0.0089, best swarm err:0.0073
epoch:015 ,particle:02, par err:0.0896, best part err:0.0092, best swarm err:0.0073
epoch:015 ,particle:03, par err:0.0640, best part err:0.0076, best swarm err:0.0073
epoch:015 ,particle:04, par err:0.0146, best part err:0.0088, best swarm err:0.0073
epoch:015 ,particle:05, par err:0.0346, best part err:0.0138, best swarm err:0.0073
epoch:015 ,particle:06, par err:0.0266, best part err:0.0117, best swarm err:0.0073
epoch:015 ,particle:07, par err:0.0440, best part err:0.0073, best swarm err:0.0073
epoch:015 ,particle:08, par err:0.0124, best part err:0.0093, best swarm err:0.0073
epoch:015 ,particle:09, par err:0.0263, best part err:0.0118, best swarm err:0.0073
epoch:015 ,particle:10, par err:0.0190, best part err:0.0083, best swarm err:0.0073
epoch:015 ,particle:11, par err:0.0846, best part err:0.0092, best swarm err:0.0073
epoch:015 ,particle:12, par err:0.0230, best part err:0.0109, best swarm err:0.0073
epoch:015 ,particle:13, par err:0.0627, best part err:0.0122, best swarm err:0.0073
epoch:015 ,particle:14, par err:0.0357, best part err:0.0143, best swarm err:0.0073
epoch:015 ,particle:15, par err:0.0316, best part err:0.0128, best swarm err:0.0073
epoch:015 ,particle:16, par err:0.0183, best part err:0.0104, best swarm err:0.0073
epoch:015 ,particle:17, par err:0.0192, best part err:0.0106, best swarm err:0.0073
epoch:015 ,particle:18, par err:0.0275, best part err:0.0121, best swarm err:0.0073
epoch:015 ,particle:19, par err:0.0198, best part err:0.0104, best swarm err:0.0073
epoch:015 ,particle:20, par err:0.0273, best part err:0.0127, best swarm err:0.0073

-------------------------------------------------------------------------------------
epoch:016 ,particle:01, par err:0.3350, best part err:0.0089, best swarm err:0.0073
epoch:016 ,particle:02, par err:0.2266, best part err:0.0092, best swarm err:0.0073
epoch:016 ,particle:03, par err:0.0262, best part err:0.0076, best swarm err:0.0073
epoch:016 ,particle:04, par err:0.1638, best part err:0.0088, best swarm err:0.0073
epoch:016 ,particle:05, par err:0.1862, best part err:0.0138, best swarm err:0.0073
epoch:016 ,particle:06, par err:0.1697, best part err:0.0117, best swarm err:0.0073
epoch:016 ,particle:07, par err:0.0249, best part err:0.0073, best swarm err:0.0073
epoch:016 ,particle:08, par err:0.0592, best part err:0.0093, best swarm err:0.0073
epoch:016 ,particle:09, par err:0.1909, best part err:0.0118, best swarm err:0.0073
epoch:016 ,particle:10, par err:0.0076, best part err:0.0076, best swarm err:0.0073
epoch:016 ,particle:11, par err:0.2468, best part err:0.0092, best swarm err:0.0073
epoch:016 ,particle:12, par err:0.1538, best part err:0.0109, best swarm err:0.0073
epoch:016 ,particle:13, par err:0.0419, best part err:0.0122, best swarm err:0.0073
epoch:016 ,particle:14, par err:0.1858, best part err:0.0143, best swarm err:0.0073
epoch:016 ,particle:15, par err:0.1836, best part err:0.0128, best swarm err:0.0073
epoch:016 ,particle:16, par err:0.1458, best part err:0.0104, best swarm err:0.0073
epoch:016 ,particle:17, par err:0.1268, best part err:0.0106, best swarm err:0.0073
