Function:XOR
ANN Hyperparameters: activation function Hyperbolic Tangent, layer arch [2, 7, 1]
epoch:011 ,particle:15, par err:1.1741, best part err:0.1804, best swarm err:0.0407

-------------------------------------------------------------------------------------
epoch:012 ,particle:01, par err:0.1223, best part err:0.1124, best swarm err:0.0074
epoch:012 ,particle:02, par err:0.1340, best part err:0.1340, best swarm err:0.0074
epoch:012 ,particle:03, par err:0.4333, best part err:0.0407, best swarm err:0.0074
epoch:012 ,particle:04, par err:0.0074, best part err:0.0074, best swarm err:0.0074
epoch:012 ,particle:05, par err:0.8298, best part err:0.1868, best swarm err:0.0074
epoch:012 ,particle:06, par err:0.1078, best part err:0.0985, best swarm err:0.0074
epoch:012 ,particle:07, par err:0.1023, best part err:0.1023, best swarm err:0.0074
epoch:012 ,particle:08, par err:0.2637, best part err:0.1658, best swarm err:0.0074
epoch:012 ,particle:09, par err:0.1737, best part err:0.0924, best swarm err:0.0074
epoch:012 ,particle:10, par err:0.1328, best part err:0.1212, best swarm err:0.0074
epoch:012 ,particle:11, par err:0.1430, best part err:0.1430, best swarm err:0.0074
epoch:012 ,particle:12, par err:0.1264, best part err:0.1264, best swarm err:0.0074
epoch:012 ,particle:13, par err:0.0658, best part err:0.0658, best swarm err:0.0074
epoch:012 ,particle:14, par err:0.1087, best part err:0.1087, best swarm err:0.0074
epoch:012 ,particle:15, par err:0.1287, best part err:0.1287, best swarm err:0.0074

-------------------------------------------------------------------------------------
epoch:013 ,particle:01, par err:0.1717, best part err:0.1124, best swarm err:0.0051
epoch:013 ,particle:02, par err:0.2321, best part err:0.1340, best swarm err:0.0051
epoch:013 ,particle:03, par err:0.0051, best part err:0.0051, best swarm err:0.0051
epoch:013 ,particle:04, par err:0.6670, best part err:0.0074, best swarm err:0.0051
epoch:013 ,particle:05, par err:0.1746, best part err:0.1746, best swarm err:0.0051
epoch:013 ,particle:06, par err:0.1648, best part err:0.0985, best swarm err:0.0051
epoch:013 ,particle:07, par err:0.9696, best part err:0.1023, best swarm err:0.0051
epoch:013 ,particle:08, par err:0.0775, best part err:0.0775, best swarm err:0.0051
epoch:013 ,particle:09, par err:0.1040, best part err:0.0924, best swarm err:0.0051
epoch:013 ,particle:10, par err:0.2488, best part err:0.1212, best swarm err:0.0051
epoch:013 ,particle:11, par err:0.2321, best part err:0.1430, best swarm err:0.0051
epoch:013 ,particle:12, par err:0.2358, best part err:0.1264, best swarm err:0.0051
epoch:013 ,particle:13, par err:0.0234, best part err:0.0234, best swarm err:0.0051
epoch:013 ,particle:14, par err:0.9424, best part err:0.1087, best swarm err:0.0051
epoch:013 ,particle:15, par err:0.2359, best part err:0.1287, best swarm err:0.0051

-------------------------------------------------------------------------------------
epoch:014 ,particle:01, par err:0.0845, best part err:0.0845, best swarm err:0.0051
epoch:014 ,particle:02, par err:1.1976, best part err:0.1340, best swarm err:0.0051
epoch:014 ,particle:03, par err:0.3196, best part err:0.0051, best swarm err:0.0051
epoch:014 ,particle:04, par err:1.1259, best part err:0.0074, best swarm err:0.0051
epoch:014 ,particle:05, par err:0.2489, best part err:0.1746, best swarm err:0.0051
epoch:014 ,particle:06, par err:0.0877, best part err:0.0877, best swarm err:0.0051
epoch:014 ,particle:07, par err:0.3355, best part err:0.1023, best swarm err:0.0051
epoch:014 ,particle:08, par err:0.6965, best part err:0.0775, best swarm err:0.0051
epoch:014 ,particle:09, par err:1.1478, best part err:0.0924, best swarm err:0.0051
epoch:014 ,particle:10, par err:1.2637, best part err:0.1212, best swarm err:0.0051
epoch:014 ,particle:11, par err:1.2301, best part err:0.1430, best swarm err:0.0051
epoch:014 ,particle:12, par err:1.2061, best part err:0.1264, best swarm err:0.0051
epoch:014 ,particle:13, par err:0.1830, best part err:0.0234, best swarm err:0.0051
epoch:014 ,particle:14, par err:0.3418, best part err:0.1087, best swarm err:0.0051
